Name,AATSC5e,MATS5e,JGI9,JGI10,IC50,FP169,FP204,FP339,FP396,FP490,FP551,FP582,FP606,ExtFP79,ExtFP442,ExtFP584,ExtFP700,ExtFP1010,ExtFP1019,GraphFP158,GraphFP504,GraphFP622,GraphFP762,GraphFP860,GraphFP906,GraphFP1007,MACCSFP26,MACCSFP150,SubFP147,KRFP349,KRFP360,KRFP364,KRFP397,KRFP607,KRFP1538,KRFP2135,KRFP3940,KRFPC349,KRFPC2135,KRFPC2694,KRFPC3139,KRFPC3520,KRFPC4292,PIC50,
anti_NIV_076,-0.01080449,-0.087369,0.011203704,0.009609224,0.0001,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
anti_NIV_077,0.002767046,0.062492949,0.009183286,0.006360122,0.0001,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,
anti_NIV_078,0.003455061,0.039709696,0.011203704,0.009609224,0.0001,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
anti_NIV_079,0.011858265,0.191546816,0.009604938,0.00572411,0.0001,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
anti_NIV_080,-0.002120815,-0.02285619,0.007203704,0.006893684,0.0001,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,
anti_NIV_081,-5.95E-04,-0.007142869,0.008474946,0.006436758,0.0001,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,
anti_NIV_082,-0.004128189,-0.051502579,0.007455908,0.0083789,0.0001,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,
anti_NIV_083,-0.008178526,-0.085354883,0.006615226,0.005493514,0.0001,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
anti_NIV_084,-0.002309637,-0.049143991,0,0,0.000131826,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.88,
anti_NIV_085,-0.03576895,-0.280753057,0,0,0.000245471,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.61,
anti_NIV_086,-0.003302432,-0.074501262,0.008333701,0.007539725,0.00030903,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3.51,
anti_NIV_087,-0.006734266,-0.093604831,0.006956522,0.005749192,0.000346737,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.46,
anti_NIV_088,0.004814585,0.060903161,0.009772537,0.006728931,0.000371535,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3.43,
anti_NIV_089,-0.00298337,-0.038478268,0,0,0.000537032,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.27,
anti_NIV_090,-0.014011552,-0.133877543,0.008660714,0.004642383,0.000645654,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3.19,
anti_NIV_091,-0.006240662,-0.08656534,0.007669393,0.007284971,0.000660693,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.18,
anti_NIV_092,-0.029593826,-0.282970698,0,0,0.000660693,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,
anti_NIV_093,0,0,0,0,0.001023293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,
anti_NIV_094,-3.92E-04,-0.009456913,0.003636364,0.003305785,0.001862087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.73,
anti_NIV_095,-0.033646417,-0.321627576,0,0,0.007585776,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.12,
